risk,risk,risk,risk,risk,risk,risk,risk,risk,risk,action,action,action,action,action,action,action,action,action,action
Full HumanGate-Q,Without reliability,Without predictive uncertainty,Without structural shift,Without explicit shift flag,Without both shift pathways,Without verification,Without resource risk,Without criticality,Without interactions,Full HumanGate-Q,Without reliability,Without predictive uncertainty,Without structural shift,Without explicit shift flag,Without both shift pathways,Without verification,Without resource risk,Without criticality,Without interactions
0.7717046398088113,0.421881184379148,0.7706071484196054,0.7717046398088113,0.7717046398088113,0.7717046398088113,0.6757046398088115,0.7617046398088113,0.6678180601052123,0.5608075265224685,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN
0.4766398613588491,0.2840428417589878,0.39660928663321365,0.4766398613588491,0.4766398613588491,0.4766398613588491,0.37378271850170625,0.4616827185017063,0.4415176509485178,0.42556409045011373,ASK_HUMAN,SELF_REPAIR,SELF_REPAIR,ASK_HUMAN,ASK_HUMAN,ASK_HUMAN,SELF_REPAIR,ASK_HUMAN,SELF_REPAIR,SELF_REPAIR
0.6653942798659928,0.3154238003795343,0.6651730893670327,0.6488604847991271,0.6653942798659928,0.6488604847991271,0.6653942798659928,0.625886740183453,0.55670842233892,0.5149188622618965,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN
0.6705446374329154,0.3205964370013509,0.6701725418595861,0.6693124192144271,0.6705446374329154,0.6693124192144271,0.6705446374329154,0.6367303517186296,0.5509436535037251,0.5049677838668578,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN
0.09383432870835788,0.09265981531116627,0.0871710745162995,0.09039521198984649,0.09383432870835788,0.09039521198984649,0.09383432870835788,0.09383432870835788,0.01165870730308769,0.09345250571303158,EXECUTE,EXECUTE,EXECUTE,EXECUTE,EXECUTE,EXECUTE,EXECUTE,EXECUTE,EXECUTE,EXECUTE
0.34581376553698767,0.2646817451898496,0.23486612894395323,0.34581376553698767,0.34581376553698767,0.34581376553698767,0.34581376553698767,0.34581376553698767,0.22943333418105386,0.3084600882961064,ASK_HUMAN,SELF_REPAIR,EXECUTE,ASK_HUMAN,ASK_HUMAN,ASK_HUMAN,ASK_HUMAN,ASK_HUMAN,EXECUTE,SELF_REPAIR
0.29131540166124914,0.25110148831697593,0.20200270395722483,0.26044983331360855,0.29131540166124914,0.26044983331360855,0.29131540166124914,0.27680151277236026,0.19088356862600225,0.275337901320074,SELF_REPAIR,SELF_REPAIR,EXECUTE,SELF_REPAIR,SELF_REPAIR,SELF_REPAIR,SELF_REPAIR,SELF_REPAIR,EXECUTE,SELF_REPAIR
0.8455729308958673,0.49562729225598573,0.845191054663367,0.7807579173006907,0.723164017628767,0.6583490040335905,0.7735729308958672,0.7855729308958672,0.7415545384399463,0.6511609209234793,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN
0.3834584393971125,0.18912078950724232,0.29026633483669906,0.3834584393971125,0.3834584393971125,0.3834584393971125,0.3834584393971125,0.3547923679685411,0.3454313597649845,0.3542229055109831,SELF_REPAIR,EXECUTE,SELF_REPAIR,SELF_REPAIR,SELF_REPAIR,SELF_REPAIR,SELF_REPAIR,SELF_REPAIR,SELF_REPAIR,SELF_REPAIR
0.8184213497303092,0.4685030807193523,0.8178611149956948,0.8076291014579444,0.6898942353479901,0.6791019870756254,0.7464213497303092,0.7679094449684044,0.7017780978302858,0.6004259086798641,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN
